model,r2_train,r2_test,rmse_train,rmse_test
Baseline Z–R,0.2755506634712219,0.3566429018974304,7.143949773870337,7.1893164951531014
Linear Regression,0.9879085421562195,0.9890993237495422,0.9229401076693252,0.9358121619259924
Polynomial (deg=3),0.9980127215385437,0.9979543089866638,0.3741666554484263,0.4053975294476843
Random Forest (tuned),0.9974147738198978,0.987896904772365,0.42675994044736737,0.9860745842464214
